date;open;close;adjClose;high;low;volume
21.08.2013;19570;39.110001;19555;20340;18125;18400
22.08.2013;19095;37.240002;18620;19190;18395;10700
23.08.2013;18250;35.760002;17880;18610;17830;7200
26.08.2013;17520;38.010002;19005;19155;17255;11100
27.08.2013;20780;44.200001;22100;22350;20195;18400
28.08.2013;22410;43.850002;21925;22985;21275;14400
29.08.2013;22620;45.850002;22925;22955;21600;12300
30.08.2013;22585;46.950001;23475;24295;22575;17300
03.09.2013;21385;43.380001;21690;22670;21180;14200
04.09.2013;21730;43.120003;21560;22025;21275;8700
05.09.2013;21485;41.299999;20650;21635;20505;6700
06.09.2013;20040;41.820004;20910;22140;19915;17300
09.09.2013;20480;38.700001;19350;20725;19190;10000
10.09.2013;18240;35.900002;17950;18510;17930;10000
11.09.2013;18130;33.650002;16825;18265;16685;10500
12.09.2013;16715;34.700001;17350;17440;16255;10600
13.09.2013;16700;33.66;16830;17475;16550;8000
16.09.2013;16065;33.120003;16560;16770;15985;9200
17.09.2013;16420;32.34;16170;16450;16015;7900
18.09.2013;16305;29.940001;14970;16740;14580;19000
19.09.2013;14550;29.65;14825;15140;14440;9900
20.09.2013;14840;30.639999;15320;15335;14500;14700
23.09.2013;15265;31.460001;15730;16280;15120;14200
24.09.2013;15515;31.080002;15540;15880;15000;11400
25.09.2013;15455;30.85;15425;15860;15100;14400
26.09.2013;14975;29.730001;14865;15345;14790;13600
27.09.2013;15330;32.139999;16070;16345;15250;20100
30.09.2013;17490;34.34;17170;17640;16400;23600
01.10.2013;17235;32.010002;16005;17350;16005;14800
02.10.2013;16670;33.950001;16975;17275;16260;14100
03.10.2013;17250;36.470001;18235;19855;17090;26400
04.10.2013;18650;35.950001;17975;19160;17745;16000
07.10.2013;19415;41.310001;20655;20735;18950;18800
08.10.2013;20650;45.139999;22570;23120;20445;29500
09.10.2013;22505;42.100002;21050;23750;20375;34800
10.10.2013;19435;33.780003;16890;19445;16815;23600
11.10.2013;16940;32.460003;16230;17040;15680;16000
14.10.2013;17485;33.120003;16560;18060;16135;24700
15.10.2013;16910;37.180004;18590;18845;16255;28600
16.10.2013;16895;28.870001;14435;17375;14390;28700
17.10.2013;14730;25.710001;12855;14765;12805;21700
18.10.2013;12360;25.060001;12530;12975;12020;18100
21.10.2013;11965;25.32;12660;12880;11935;17300
22.10.2013;12160;25.540001;12770;12905;12075;15600
23.10.2013;13060;25.800001;12900;13700;12895;19100
24.10.2013;12760;25.050001;12525;12975;12410;13000
25.10.2013;12490;24.940001;12470;12835;12420;9600
28.10.2013;12585;25.160002;12580;12840;12470;10200
29.10.2013;12535;24.85;12425;12795;12370;11700
30.10.2013;12455;25.4;12700;13125;12380;15800
31.10.2013;12685;25.190001;12595;12875;12205;16300
01.11.2013;12410;24.890001;12445;12755;12240;11300
04.11.2013;12260;23.630001;11815;12425;11775;13200
05.11.2013;11950;23.42;11710;12100;11625;19100
06.11.2013;11465;22.719999;11360;11810;11330;15600
07.11.2013;11255;24.35;12175;12285;11235;26700
08.11.2013;11895;22.280001;11140;11940;11130;28400
11.11.2013;11155;22.07;11035;11300;11025;17500
12.11.2013;11100;21.980001;10990;11225;10900;27300
13.11.2013;11325;21.780001;10890;11345;10850;25100
14.11.2013;10875;21.300001;10650;10960;10635;20200
15.11.2013;10540;20.83;10415;10575;10380;17900
18.11.2013;10085;20.810001;10405;10500;9885;23900
19.11.2013;10315;21.27;10635;10900;10190;27200
20.11.2013;10880;20.4;10200;10915;9890;30000
21.11.2013;9975;19.1;9550;10020;9375;20900
22.11.2013;9430;18.490002;9245;9530;9240;13600
25.11.2013;9065;18.630001;9315;9415;9055;12600
26.11.2013;9305;18.83;9415;9475;9180;10300
27.11.2013;9325;18.840002;9420;9495;9310;9400
29.11.2013;9355;19.32;9660;9685;9335;7100
02.12.2013;9585;19.610001;9805;9955;9570;15200
03.12.2013;10205;20.58;10290;10805;10020;26900
04.12.2013;10715;20.190001;10095;11005;10050;28200
05.12.2013;9950;20.42;10210;10425;9915;22100
06.12.2013;9755;18.960001;9480;9825;9385;23000
09.12.2013;9360;18.75;9375;9530;9260;14100
10.12.2013;9470;18.9;9450;9560;9335;15600
11.12.2013;9390;20.630001;10315;10415;9375;26100
12.12.2013;10230;20.870001;10435;10850;10090;26400
13.12.2013;10390;20.950001;10475;10640;10280;16200
16.12.2013;10220;20.969999;10485;10615;10125;18400
17.12.2013;10755;20.780001;10390;11030;10235;24800
18.12.2013;10200;17.790001;8895;10540;8885;32500
19.12.2013;9075;18.200001;9100;9195;8885;11000
20.12.2013;8980;18.480001;9240;9275;8900;16800
23.12.2013;9010;17.130001;8565;9070;8525;14700
24.12.2013;8315;16.450001;8225;8425;8175;7500
26.12.2013;7890;15.88;7940;7960;7830;10200
27.12.2013;7870;16.26;8130;8260;7850;13500
30.12.2013;8235;16.810001;8405;8485;8120;12800
31.12.2013;8195;16.780001;8390;8645;8175;13200
02.01.2014;8640;17.440001;8720;8840;8575;16700
03.01.2014;8575;17.240002;8620;8800;8380;12300
06.01.2014;8325;16.800001;8400;8575;8195;19500
07.01.2014;8220;16.050001;8025;8250;7975;14700
08.01.2014;8105;16.08;8040;8185;7955;14700
09.01.2014;8000;16.15;8075;8175;7950;13800
10.01.2014;7950;15.410001;7705;8150;7665;16000
13.01.2014;7765;16.52;8260;8495;7510;25800
14.01.2014;8055;15.17;7585;8065;7575;21700
15.01.2014;7565;15.32;7660;7835;7530;13600
16.01.2014;7685;15.440001;7720;7905;7635;12500
17.01.2014;7785;15.540001;7770;7860;7565;16700
21.01.2014;7610;15.140001;7570;7855;7550;17400
22.01.2014;7410;14.7;7350;7500;7300;14900
23.01.2014;7530;15.48;7740;8080;7490;26000
24.01.2014;8161.25;72.810005;9101.25;9395;8132.5;56300
27.01.2014;9013.75;74.560005;9320;10587.5;8667.5;69200
28.01.2014;9360;68.440002;8555;9450;8375;36400
29.01.2014;9410;77.190002;9648.75;9982.5;8896.25;34000
30.01.2014;9085;75;9375;9595;8827.5;30300
31.01.2014;11275;87.529999;10941.25;11275;10126.25;47200
03.02.2014;11217.5;99.940002;12492.5;12762.5;10875;53200
04.02.2014;12052.5;95.57;11946.25;12515;11608.75;33300
05.02.2014;12468.75;102.830009;12853.75;13551.25;12238.75;35700
