UVXY
date;open;high;low;close;volume;adjClose
12.06.2013;32990;39385;32820;77,25;11200;38625
13.06.2013;38580;39600;34510;69,770004;10500;34885
14.06.2013;35145;37050;33570;73,490005;9100;36745
17.06.2013;34990;36750;34525;70,490005;8500;35245
18.06.2013;35020;35345;34275;68,580002;6900;34290
19.06.2013;34870;35390;31170;68,480003;13000;34240
20.06.2013;37090;44375;36800;84,400002;17100;42200
21.06.2013;39490;43935;38500;78,129997;13200;39065
24.06.2013;43140;44920;41220;87,470001;11900;43735
25.06.2013;40995;43030;40565;82,220001;8000;41110
26.06.2013;39100;40945;39005;78,68;7700;39340
27.06.2013;37410;38060;36100;72,400002;7900;36200
28.06.2013;37590;38190;34635;71,690002;8900;35845
01.07.2013;34725;34870;32275;66,970001;6700;33485
02.07.2013;34330;35545;32750;69,099998;7800;34550
03.07.2013;35260;35585;33340;67,480003;5000;33740
05.07.2013;32000;33075;30285;60,570004;8400;30285
08.07.2013;28600;28875;27250;55,260006;9000;27630
09.07.2013;26070;26820;25810;52,710003;6300;26355
10.07.2013;26355;26610;25555;51,560005;7500;25780
11.07.2013;24165;25025;23965;48,860001;8000;24430
12.07.2013;24455;25255;24200;49,820004;5700;24910
15.07.2013;24440;24850;23505;47,639999;4300;23820
16.07.2013;23730;25605;23645;50,080002;8300;25040
17.07.2013;24415;24890;23305;46,760002;7300;23380
18.07.2013;22960;23175;22025;45,100002;7500;22550
19.07.2013;22900;23470;21365;43,240002;7600;21620
22.07.2013;21305;21750;20520;41,310001;7100;20655
23.07.2013;20260;21175;19945;40,960003;7700;20480
24.07.2013;20175;21410;20125;41,990002;7700;20995
25.07.2013;21420;21500;19850;39,990002;6900;19995
26.07.2013;20405;21095;19695;39,610001;6500;19805
29.07.2013;20215;20700;19845;40,530003;4700;20265
30.07.2013;20150;20560;19470;39,09;6000;19545
31.07.2013;19460;19520;17845;37,400002;10300;18700
01.08.2013;17700;17900;17400;35,09;8500;17545
02.08.2013;17565;17605;16595;33,330002;8700;16665
05.08.2013;16530;16720;16120;32,450001;6600;16225
06.08.2013;16390;17440;16290;34,400002;9600;17200
07.08.2013;17740;18490;17350;35,100002;10900;17550
08.08.2013;16905;17735;16750;33,930004;7800;16965
09.08.2013;17050;17830;16735;34,950001;10300;17475
12.08.2013;18220;18280;17130;34,570004;8400;17285
13.08.2013;16980;17760;16755;33,950001;9100;16975
14.08.2013;16760;17325;16605;34,600002;8500;17300
15.08.2013;18440;19175;18260;37,990002;15600;18995
16.08.2013;18975;19095;17750;36,730003;13700;18365
19.08.2013;18525;19500;18280;38,700001;8700;19350
20.08.2013;19515;19760;17935;37,700001;10500;18850
21.08.2013;19570;20340;18125;39,110001;18400;19555
22.08.2013;19095;19190;18395;37,240002;10700;18620
23.08.2013;18250;18610;17830;35,760002;7200;17880
26.08.2013;17520;19155;17255;38,010002;11100;19005
